sku,brand,title,category,url,price,margin
A001,RED LABEL,"Red Label Tea, 500 gm Carton",Tea,https://www.bigbasket.com/pd/266569/red-label-tea-500-gm-carton/,50,10%
A002,RED LABEL,"Red Label Tea, 100 gm",Tea,https://www.bigbasket.com/pd/266569/red-label-tea-100-gm,10,9%
A003,RED LABEL,"Red Label Tea, 250 gm Carton",Tea,https://www.bigbasket.com/pd/266569/red-label-tea-250-gm-carton/,25,8%
A004,RED LABEL,"Red Label Tea - Natural Care, 250 gm",Tea,https://www.bigbasket.com/pd/266615/red-label-tea-natural-care-100-gm/,24,10%
A005,RED LABEL,"Red Label Tea - Natural Care, 500 gm",Tea,https://www.bigbasket.com/pd/266615/red-label-tea-natural-care-500-gm/,50,12%
A006,RED LABEL,"Red Label Tea - Natural Care, 100 gm",Tea,https://www.bigbasket.com/pd/266615/red-label-tea-natural-care-250-gm/,10,11%
A007,TATA TEA GOLD,"Tata Tea Gold Leaf, 1 kg",Tea,https://www.bigbasket.com/pd/240065/tata-tea-gold-leaf-1-kg/,110,12%
A008,TATA TEA GOLD,"Tata Tea Gold Leaf, 500 gm",Tea,https://www.bigbasket.com/pd/240065/tata-tea-gold-leaf-500-gm,60,15%
A009,TATA TEA GOLD,"Tata Tea Gold Leaf, 100 gm",Tea,https://www.bigbasket.com/pd/240065/tata-tea-gold-leaf-100-gm/,12,13%
A010,Lipton,"Lipton Green Tea Bags - Honey Lemon, 25 pcs",Tea,https://www.bigbasket.com/pd/40024622/lipton-green-tea-bags-honey-lemon-25-pcs/,30,11%
A011,Lipton,"Lipton Green Tea Bags - Honey Lemon, 2 X 25 pcs",Tea,https://www.bigbasket.com/pd/1201451/lipton-green-tea-bags-honey-lemon-2x25-pcs/,55,9%
A012,Lipton,"Lipton Green Tea Bags - Honey Lemon, 100 pcs",Tea,https://www.bigbasket.com/pd/1201451/lipton-green-tea-bags-honey-lemon-100-pcs/,95,8%
A013,TATA TEA KANAN DEVAN,"Tata Tea Kanan Devan Tea, 500 gm",Tea,https://www.bigbasket.com/pd/264437/tata-tea-kanan-devan-tea-500-gm/,50,10%
A014,TATA TEA KANAN DEVAN,"Tata Tea Kanan Devan Tea, 250 gm",Tea,https://www.bigbasket.com/pd/264437/tata-tea-kanan-devan-tea-250-gm/,24,11%
A015,TATA TEA KANAN DEVAN,"Tata Tea Kanan Devan Tea, 100 gm",Tea,https://www.bigbasket.com/pd/264437/tata-tea-kanan-devan-tea-100-gm/,9,12%
A016,TAJ MAHAL,"Taj Mahal Tea South, 500 gm",Tea,https://www.bigbasket.com/pd/266564/taj-mahal-tea-south-500-gm/,55,15%
A017,TAJ MAHAL,"Taj Mahal Tea South, 250 gm",Tea,https://www.bigbasket.com/pd/266564/taj-mahal-tea-south-250-gm/,28,9%
